U+2A880 	𪢀
U+2A881 	𪢁
U+2A882 	𪢂
U+2A883 	𪢃
U+2A884 	𪢄
U+2A885 	𪢅
U+2A886 	𪢆
U+2A887 	𪢇
U+2A888 	𪢈
U+2A889 	𪢉
U+2A88A 	𪢊
U+2A88B 	𪢋
U+2A88C 	𪢌
U+2A88D 	𪢍
U+2A88E 	𪢎
U+2A88F 	𪢏
U+2A890 	𪢐
U+2A891 	𪢑
U+2A892 	𪢒
U+2A893 	𪢓
U+2A894 	𪢔
U+2A895 	𪢕
U+2A896 	𪢖
U+2A897 	𪢗
U+2A898 	𪢘
U+2A899 	𪢙
U+2A89A 	𪢚
U+2A89B 	𪢛
U+2A89C 	𪢜
U+2A89D 	𪢝
U+2A89E 	𪢞
U+2A89F 	𪢟
U+2A8A0 	𪢠
U+2A8A1 	𪢡
U+2A8A2 	𪢢
U+2A8A3 	𪢣
U+2A8A4 	𪢤
U+2A8A5 	𪢥
U+2A8A6 	𪢦
U+2A8A7 	𪢧
U+2A8A8 	𪢨
U+2A8A9 	𪢩
U+2A8AA 	𪢪
U+2A8AB 	𪢫
U+2A8AC 	𪢬
U+2A8AD 	𪢭
U+2A8AE 	𪢮
U+2A8AF 	𪢯
U+2A8B0 	𪢰
U+2A8B1 	𪢱
U+2A8B2 	𪢲
U+2A8B3 	𪢳
U+2A8B4 	𪢴
U+2A8B5 	𪢵
U+2A8B6 	𪢶
U+2A8B7 	𪢷
U+2A8B8 	𪢸
U+2A8B9 	𪢹
U+2A8BA 	𪢺
U+2A8BB 	𪢻
U+2A8BC 	𪢼
U+2A8BD 	𪢽
U+2A8BE 	𪢾
U+2A8BF 	𪢿
U+2A8C0 	𪣀
U+2A8C1 	𪣁
U+2A8C2 	𪣂
U+2A8C3 	𪣃
U+2A8C4 	𪣄
U+2A8C5 	𪣅
U+2A8C6 	𪣆
U+2A8C7 	𪣇
U+2A8C8 	𪣈
U+2A8C9 	𪣉
U+2A8CA 	𪣊
U+2A8CB 	𪣋
U+2A8CC 	𪣌
U+2A8CD 	𪣍
U+2A8CE 	𪣎
U+2A8CF 	𪣏
U+2A8D0 	𪣐
U+2A8D1 	𪣑
U+2A8D2 	𪣒
U+2A8D3 	𪣓
U+2A8D4 	𪣔
U+2A8D5 	𪣕
U+2A8D6 	𪣖
U+2A8D7 	𪣗
U+2A8D8 	𪣘
U+2A8D9 	𪣙
U+2A8DA 	𪣚
U+2A8DB 	𪣛
U+2A8DC 	𪣜
U+2A8DD 	𪣝
U+2A8DE 	𪣞
U+2A8DF 	𪣟
U+2A8E0 	𪣠
U+2A8E1 	𪣡
U+2A8E2 	𪣢
U+2A8E3 	𪣣
U+2A8E4 	𪣤
U+2A8E5 	𪣥
U+2A8E6 	𪣦
U+2A8E7 	𪣧
U+2A8E8 	𪣨
U+2A8E9 	𪣩
U+2A8EA 	𪣪
U+2A8EB 	𪣫
U+2A8EC 	𪣬
U+2A8ED 	𪣭
U+2A8EE 	𪣮
U+2A8EF 	𪣯
U+2A8F0 	𪣰
U+2A8F1 	𪣱
U+2A8F2 	𪣲
U+2A8F3 	𪣳
U+2A8F4 	𪣴
U+2A8F5 	𪣵
U+2A8F6 	𪣶
U+2A8F7 	𪣷
U+2A8F8 	𪣸
U+2A8F9 	𪣹
U+2A8FA 	𪣺
U+2A8FB 	𪣻
U+2A8FC 	𪣼
U+2A8FD 	𪣽
U+2A8FE 	𪣾
U+2A8FF 	𪣿
U+2A900 	𪤀
U+2A901 	𪤁
U+2A902 	𪤂
U+2A903 	𪤃
U+2A904 	𪤄
U+2A905 	𪤅
U+2A906 	𪤆
U+2A907 	𪤇
U+2A908 	𪤈
U+2A909 	𪤉
U+2A90A 	𪤊
U+2A90B 	𪤋
U+2A90C 	𪤌
U+2A90D 	𪤍
U+2A90E 	𪤎
U+2A90F 	𪤏
U+2A910 	𪤐
U+2A911 	𪤑
U+2A912 	𪤒
U+2A913 	𪤓
U+2A914 	𪤔
U+2A915 	𪤕
U+2A916 	𪤖
U+2A917 	𪤗
U+2A918 	𪤘
U+2A919 	𪤙
U+2A91A 	𪤚
U+2A91B 	𪤛
U+2A91C 	𪤜
U+2A91D 	𪤝
U+2A91E 	𪤞
U+2A91F 	𪤟
U+2A920 	𪤠
U+2A921 	𪤡
U+2A922 	𪤢
U+2A923 	𪤣
U+2A924 	𪤤
U+2A925 	𪤥
U+2A926 	𪤦
U+2A927 	𪤧
U+2A928 	𪤨
U+2A929 	𪤩
U+2A92A 	𪤪
U+2A92B 	𪤫
U+2A92C 	𪤬
U+2A92D 	𪤭
U+2A92E 	𪤮
U+2A92F 	𪤯
U+2A930 	𪤰
U+2A931 	𪤱
U+2A932 	𪤲
U+2A933 	𪤳
U+2A934 	𪤴
U+2A935 	𪤵
U+2A936 	𪤶
U+2A937 	𪤷
U+2A938 	𪤸
U+2A939 	𪤹
U+2A93A 	𪤺
U+2A93B 	𪤻
U+2A93C 	𪤼
U+2A93D 	𪤽
U+2A93E 	𪤾
U+2A93F 	𪤿
U+2A940 	𪥀
U+2A941 	𪥁
U+2A942 	𪥂
U+2A943 	𪥃
U+2A944 	𪥄
U+2A945 	𪥅
U+2A946 	𪥆
U+2A947 	𪥇
U+2A948 	𪥈
U+2A949 	𪥉
U+2A94A 	𪥊
U+2A94B 	𪥋
U+2A94C 	𪥌
U+2A94D 	𪥍
U+2A94E 	𪥎
U+2A94F 	𪥏
U+2A950 	𪥐
U+2A951 	𪥑
U+2A952 	𪥒
U+2A953 	𪥓
U+2A954 	𪥔
U+2A955 	𪥕
U+2A956 	𪥖
U+2A957 	𪥗
U+2A958 	𪥘
U+2A959 	𪥙
U+2A95A 	𪥚
U+2A95B 	𪥛
U+2A95C 	𪥜
U+2A95D 	𪥝
U+2A95E 	𪥞
U+2A95F 	𪥟
U+2A960 	𪥠
U+2A961 	𪥡
U+2A962 	𪥢
U+2A963 	𪥣
U+2A964 	𪥤
U+2A965 	𪥥
U+2A966 	𪥦
