U+32554	𲕔
U+32555	𲕕
U+32556	𲕖
U+32557	𲕗
U+32558	𲕘
U+32559	𲕙
U+3255A	𲕚
U+3255B	𲕛
U+3255C	𲕜
U+3255D	𲕝
U+3255E	𲕞
U+3255F	𲕟
U+32560	𲕠
U+32561	𲕡
U+32562	𲕢
U+32563	𲕣
U+32564	𲕤
U+32565	𲕥
U+32566	𲕦
U+32567	𲕧
U+32568	𲕨
U+32569	𲕩
U+3256A	𲕪
U+3256B	𲕫
U+3256C	𲕬
U+3256D	𲕭
U+3256E	𲕮
U+3256F	𲕯
U+32570	𲕰
U+32571	𲕱
U+32572	𲕲
U+32573	𲕳
U+32574	𲕴
U+32575	𲕵
U+32576	𲕶
U+32577	𲕷
U+32578	𲕸
U+32579	𲕹
U+3257A	𲕺
U+3257B	𲕻
U+3257C	𲕼
U+3257D	𲕽
U+3257E	𲕾
U+3257F	𲕿
U+32580	𲖀
U+32581	𲖁
U+32582	𲖂
U+32583	𲖃
U+32584	𲖄
U+32585	𲖅
U+32586	𲖆
U+32587	𲖇
U+32588	𲖈
U+32589	𲖉
U+3258A	𲖊
U+3258B	𲖋
U+3258C	𲖌
U+3258D	𲖍
U+3258E	𲖎
U+3258F	𲖏
U+32590	𲖐
U+32591	𲖑
U+32592	𲖒
U+32593	𲖓
U+32594	𲖔
U+32595	𲖕
U+32596	𲖖
U+32597	𲖗
U+32598	𲖘
U+32599	𲖙
U+3259A	𲖚
U+3259B	𲖛
U+3259C	𲖜
U+3259D	𲖝
U+3259E	𲖞
U+3259F	𲖟
U+325A0	𲖠
U+325A1	𲖡
U+325A2	𲖢
U+325A3	𲖣
U+325A4	𲖤
U+325A5	𲖥
U+325A6	𲖦
U+325A7	𲖧
U+325A8	𲖨
U+325A9	𲖩
U+325AA	𲖪
U+325AB	𲖫
U+325AC	𲖬
U+325AD	𲖭
U+325AE	𲖮
U+325AF	𲖯
U+325B0	𲖰
U+325B1	𲖱
U+325B2	𲖲
U+325B3	𲖳
U+325B4	𲖴
U+325B5	𲖵
U+325B6	𲖶
U+325B7	𲖷
U+325B8	𲖸
U+325B9	𲖹
U+325BA	𲖺
U+325BB	𲖻
U+325BC	𲖼
U+325BD	𲖽
U+325BE	𲖾
U+325BF	𲖿
U+325C0	𲗀
U+325C1	𲗁
U+325C2	𲗂
U+325C3	𲗃
U+325C4	𲗄
U+325C5	𲗅
U+325C6	𲗆
U+325C7	𲗇
U+325C8	𲗈
U+325C9	𲗉
U+325CA	𲗊
U+325CB	𲗋
U+325CC	𲗌
U+325CD	𲗍
U+325CE	𲗎
U+325CF	𲗏
U+325D0	𲗐
U+325D1	𲗑
U+325D2	𲗒
U+325D3	𲗓
U+325D4	𲗔
U+325D5	𲗕
U+325D6	𲗖
U+325D7	𲗗
U+325D8	𲗘
U+325D9	𲗙
U+325DA	𲗚
U+325DB	𲗛
U+325DC	𲗜
U+325DD	𲗝
U+325DE	𲗞
U+325DF	𲗟
U+325E0	𲗠
U+325E1	𲗡
U+325E2	𲗢
U+325E3	𲗣
U+325E4	𲗤
U+325E5	𲗥
U+325E6	𲗦
U+325E7	𲗧
U+325E8	𲗨
U+325E9	𲗩
U+325EA	𲗪
U+325EB	𲗫
U+325EC	𲗬
U+325ED	𲗭
U+325EE	𲗮
U+325EF	𲗯
U+325F0	𲗰
U+325F1	𲗱
U+325F2	𲗲
U+325F3	𲗳
U+325F4	𲗴
U+325F5	𲗵
U+325F6	𲗶
U+325F7	𲗷
U+325F8	𲗸
U+325F9	𲗹
U+325FA	𲗺
U+325FB	𲗻
U+325FC	𲗼
U+325FD	𲗽
U+325FE	𲗾
U+325FF	𲗿
U+32600	𲘀
U+32601	𲘁
U+32602	𲘂
U+32603	𲘃
U+32604	𲘄
U+32605	𲘅
U+32606	𲘆
U+32607	𲘇
U+32608	𲘈
U+32609	𲘉
U+3260A	𲘊
U+3260B	𲘋
U+3260C	𲘌
U+3260D	𲘍
U+3260E	𲘎
U+3260F	𲘏
U+32610	𲘐
U+32611	𲘑
U+32612	𲘒
U+32613	𲘓
U+32614	𲘔
U+32615	𲘕
U+32616	𲘖
U+32617	𲘗
U+32618	𲘘
U+32619	𲘙
U+3261A	𲘚
U+3261B	𲘛
U+3261C	𲘜
U+3261D	𲘝
U+3261E	𲘞
U+3261F	𲘟
U+32620	𲘠
U+32621	𲘡
U+32622	𲘢
U+32623	𲘣
U+32624	𲘤
U+32625	𲘥
U+32626	𲘦
U+32627	𲘧
U+32628	𲘨
U+32629	𲘩
U+3262A	𲘪
U+3262B	𲘫
U+3262C	𲘬
U+3262D	𲘭
U+3262E	𲘮
U+3262F	𲘯
U+32630	𲘰
U+32631	𲘱
U+32632	𲘲
U+32633	𲘳
U+32634	𲘴
U+32635	𲘵
U+32636	𲘶
U+32637	𲘷
U+32638	𲘸
U+32639	𲘹
U+3263A	𲘺
U+3263B	𲘻
U+3263C	𲘼
U+3263D	𲘽
U+3263E	𲘾
U+3263F	𲘿
U+32640	𲙀
U+32641	𲙁
U+32642	𲙂
U+32643	𲙃
U+32644	𲙄
U+32645	𲙅
U+32646	𲙆
U+32647	𲙇
U+32648	𲙈
U+32649	𲙉
U+3264A	𲙊
U+3264B	𲙋
U+3264C	𲙌
U+3264D	𲙍
U+3264E	𲙎
U+3264F	𲙏
U+32650	𲙐
U+32651	𲙑
U+32652	𲙒
U+32653	𲙓
U+32654	𲙔
U+32655	𲙕
U+32656	𲙖
U+32657	𲙗
U+32658	𲙘
U+32659	𲙙
U+3265A	𲙚
U+3265B	𲙛
U+3265C	𲙜
U+3265D	𲙝
U+3265E	𲙞
U+3265F	𲙟
U+32660	𲙠
U+32661	𲙡
U+32662	𲙢
U+32663	𲙣
U+32664	𲙤
U+32665	𲙥
U+32666	𲙦
U+32667	𲙧
U+32668	𲙨
U+32669	𲙩
U+3266A	𲙪
U+3266B	𲙫
U+3266C	𲙬
U+3266D	𲙭
U+3266E	𲙮
U+3266F	𲙯
U+32670	𲙰
U+32671	𲙱
U+32672	𲙲
U+32673	𲙳
U+32674	𲙴
U+32675	𲙵
U+32676	𲙶
U+32677	𲙷
U+32678	𲙸
U+32679	𲙹
U+3267A	𲙺
U+3267B	𲙻
U+3267C	𲙼
U+3267D	𲙽
U+3267E	𲙾
U+3267F	𲙿
U+32680	𲚀
U+32681	𲚁
U+32682	𲚂
U+32683	𲚃
U+32684	𲚄
U+32685	𲚅
U+32686	𲚆
U+32687	𲚇
U+32688	𲚈
U+32689	𲚉
U+3268A	𲚊
U+3268B	𲚋
U+3268C	𲚌
U+3268D	𲚍
U+3268E	𲚎
U+3268F	𲚏
U+32690	𲚐
U+32691	𲚑
U+32692	𲚒
U+32693	𲚓
U+32694	𲚔
U+32695	𲚕
U+32696	𲚖
U+32697	𲚗
U+32698	𲚘
U+32699	𲚙
U+3269A	𲚚
U+3269B	𲚛
U+3269C	𲚜
U+3269D	𲚝
U+3269E	𲚞
U+3269F	𲚟
U+326A0	𲚠
U+326A1	𲚡
U+326A2	𲚢
U+326A3	𲚣
U+326A4	𲚤
U+326A5	𲚥
U+326A6	𲚦
U+326A7	𲚧
U+326A8	𲚨
U+326A9	𲚩
U+326AA	𲚪
U+326AB	𲚫
U+326AC	𲚬
U+326AD	𲚭
U+326AE	𲚮
U+326AF	𲚯
U+326B0	𲚰
U+326B1	𲚱
U+326B2	𲚲
U+326B3	𲚳
U+326B4	𲚴
U+326B5	𲚵
U+326B6	𲚶
U+326B7	𲚷
U+326B8	𲚸
U+326B9	𲚹
U+326BA	𲚺
U+326BB	𲚻
U+326BC	𲚼
U+326BD	𲚽
U+326BE	𲚾
U+326BF	𲚿
U+326C0	𲛀
U+326C1	𲛁
U+326C2	𲛂
U+326C3	𲛃
U+326C4	𲛄
U+326C5	𲛅
U+326C6	𲛆
U+326C7	𲛇
U+326C8	𲛈
U+326C9	𲛉
U+326CA	𲛊
U+326CB	𲛋
U+326CC	𲛌
U+326CD	𲛍
U+326CE	𲛎
U+326CF	𲛏
U+326D0	𲛐
U+326D1	𲛑
U+326D2	𲛒
U+326D3	𲛓
U+326D4	𲛔
U+326D5	𲛕
U+326D6	𲛖
U+326D7	𲛗
U+326D8	𲛘
U+326D9	𲛙
U+326DA	𲛚
U+326DB	𲛛
U+326DC	𲛜
U+326DD	𲛝
U+326DE	𲛞
U+326DF	𲛟
U+326E0	𲛠
U+326E1	𲛡
U+326E2	𲛢
U+326E3	𲛣
U+326E4	𲛤
U+326E5	𲛥
U+326E6	𲛦
U+326E7	𲛧
U+326E8	𲛨
U+326E9	𲛩
U+326EA	𲛪
U+326EB	𲛫
U+326EC	𲛬
U+326ED	𲛭
U+326EE	𲛮
U+326EF	𲛯
U+326F0	𲛰
U+326F1	𲛱
U+326F2	𲛲
U+326F3	𲛳
U+326F4	𲛴
U+326F5	𲛵
U+326F6	𲛶
U+326F7	𲛷
U+326F8	𲛸
U+326F9	𲛹
U+326FA	𲛺
U+326FB	𲛻
U+326FC	𲛼
U+326FD	𲛽
U+326FE	𲛾
U+326FF	𲛿
U+32700	𲜀
U+32701	𲜁
U+32702	𲜂
U+32703	𲜃
U+32704	𲜄
U+32705	𲜅
U+32706	𲜆
U+32707	𲜇
U+32708	𲜈
U+32709	𲜉
U+3270A	𲜊
U+3270B	𲜋
U+3270C	𲜌
U+3270D	𲜍
U+3270E	𲜎
U+3270F	𲜏
U+32710	𲜐
U+32711	𲜑
U+32712	𲜒
U+32713	𲜓
U+32714	𲜔
U+32715	𲜕
U+32716	𲜖
U+32717	𲜗
U+32718	𲜘
U+32719	𲜙
U+3271A	𲜚
U+3271B	𲜛
U+3271C	𲜜
U+3271D	𲜝
U+3271E	𲜞
U+3271F	𲜟
U+32720	𲜠
U+32721	𲜡
U+32722	𲜢
U+32723	𲜣
U+32724	𲜤
U+32725	𲜥
U+32726	𲜦
U+32727	𲜧
U+32728	𲜨
U+32729	𲜩
U+3272A	𲜪
U+3272B	𲜫
U+3272C	𲜬
U+3272D	𲜭
U+3272E	𲜮
U+3272F	𲜯
U+32730	𲜰
U+32731	𲜱
U+32732	𲜲
U+32733	𲜳
U+32734	𲜴
U+32735	𲜵
U+32736	𲜶
U+32737	𲜷
U+32738	𲜸
U+32739	𲜹
U+3273A	𲜺
U+3273B	𲜻
U+3273C	𲜼
U+3273D	𲜽
U+3273E	𲜾
U+3273F	𲜿
U+32740	𲝀
U+32741	𲝁
U+32742	𲝂
U+32743	𲝃
U+32744	𲝄
U+32745	𲝅
U+32746	𲝆
U+32747	𲝇
U+32748	𲝈
U+32749	𲝉
U+3274A	𲝊
U+3274B	𲝋
U+3274C	𲝌
U+3274D	𲝍
U+3274E	𲝎
U+3274F	𲝏
U+32750	𲝐
U+32751	𲝑
U+32752	𲝒
U+32753	𲝓
U+32754	𲝔
U+32755	𲝕
U+32756	𲝖
U+32757	𲝗
U+32758	𲝘
U+32759	𲝙
U+3275A	𲝚
U+3275B	𲝛
U+3275C	𲝜
U+3275D	𲝝
U+3275E	𲝞
U+3275F	𲝟
U+32760	𲝠
U+32761	𲝡
U+32762	𲝢
U+32763	𲝣
U+32764	𲝤
U+32765	𲝥
U+32766	𲝦
U+32767	𲝧
U+32768	𲝨
U+32769	𲝩
U+3276A	𲝪
U+3276B	𲝫
U+3276C	𲝬
U+3276D	𲝭
U+3276E	𲝮
U+3276F	𲝯
U+32770	𲝰
U+32771	𲝱
U+32772	𲝲
U+32773	𲝳
U+32774	𲝴
U+32775	𲝵
U+32776	𲝶
U+32777	𲝷
U+32778	𲝸
U+32779	𲝹
U+3277A	𲝺
U+3277B	𲝻
U+3277C	𲝼
U+3277D	𲝽
U+3277E	𲝾
U+3277F	𲝿
U+32780	𲞀
U+32781	𲞁
U+32782	𲞂
U+32783	𲞃
U+32784	𲞄
U+32785	𲞅
U+32786	𲞆
U+32787	𲞇
U+32788	𲞈
U+32789	𲞉
U+3278A	𲞊
U+3278B	𲞋
U+3278C	𲞌
U+3278D	𲞍
U+3278E	𲞎
U+3278F	𲞏
U+32790	𲞐
U+32791	𲞑
U+32792	𲞒
U+32793	𲞓
U+32794	𲞔
U+32795	𲞕
U+32796	𲞖
U+32797	𲞗
U+32798	𲞘
U+32799	𲞙
U+3279A	𲞚
U+3279B	𲞛
U+3279C	𲞜
U+3279D	𲞝
U+3279E	𲞞
