U+2BB05 	𫬅
U+2BB06 	𫬆
U+2BB07 	𫬇
U+2BB08 	𫬈
U+2BB09 	𫬉
U+2BB0A 	𫬊
U+2BB0B 	𫬋
U+2BB0C 	𫬌
U+2BB0D 	𫬍
U+2BB0E 	𫬎
U+2BB0F 	𫬏
U+2BB10 	𫬐
U+2BB11 	𫬑
U+2BB12 	𫬒
U+2BB13 	𫬓
U+2BB14 	𫬔
U+2BB15 	𫬕
U+2BB16 	𫬖
U+2BB17 	𫬗
U+2BB18 	𫬘
U+2BB19 	𫬙
U+2BB1A 	𫬚
U+2BB1B 	𫬛
U+2BB1C 	𫬜
U+2BB1D 	𫬝
U+2BB1E 	𫬞
U+2BB1F 	𫬟
U+2BB20 	𫬠
U+2BB21 	𫬡
U+2BB22 	𫬢
U+2BB23 	𫬣
U+2BB24 	𫬤
U+2BB25 	𫬥
U+2BB26 	𫬦
U+2BB27 	𫬧
U+2BB28 	𫬨
U+2BB29 	𫬩
U+2BB2A 	𫬪
U+2BB2B 	𫬫
U+2BB2C 	𫬬
U+2BB2D 	𫬭
U+2BB2E 	𫬮
U+2BB2F 	𫬯
U+2BB30 	𫬰
U+2BB31 	𫬱
U+2BB32 	𫬲
U+2BB33 	𫬳
U+2BB34 	𫬴
U+2BB35 	𫬵
U+2BB36 	𫬶
U+2BB37 	𫬷
U+2BB38 	𫬸
U+2BB39 	𫬹
U+2BB3A 	𫬺
U+2BB3B 	𫬻
U+2BB3C 	𫬼
U+2BB3D 	𫬽
U+2BB3E 	𫬾
U+2BB3F 	𫬿
U+2BB40 	𫭀
U+2BB41 	𫭁
U+2BB42 	𫭂
U+2BB43 	𫭃
U+2BB44 	𫭄
U+2BB45 	𫭅
U+2BB46 	𫭆
U+2BB47 	𫭇
U+2BB48 	𫭈
U+2BB49 	𫭉
U+2BB4A 	𫭊
U+2BB4B 	𫭋
U+2BB4C 	𫭌
U+2BB4D 	𫭍
U+2BB4E 	𫭎
U+2BB4F 	𫭏
U+2BB50 	𫭐
U+2BB51 	𫭑
U+2BB52 	𫭒
U+2BB53 	𫭓
U+2BB54 	𫭔
U+2BB55 	𫭕
U+2BB56 	𫭖
U+2BB57 	𫭗
U+2BB58 	𫭘
U+2BB59 	𫭙
U+2BB5A 	𫭚
U+2BB5B 	𫭛
U+2BB5C 	𫭜
U+2BB5D 	𫭝
U+2BB5E 	𫭞
U+2BB5F 	𫭟
U+2BB60 	𫭠
U+2BB61 	𫭡
U+2BB62 	𫭢
U+2BB63 	𫭣
U+2BB64 	𫭤
U+2BB65 	𫭥
U+2BB66 	𫭦
U+2BB67 	𫭧
U+2BB68 	𫭨
U+2BB69 	𫭩
U+2BB6A 	𫭪
U+2BB6B 	𫭫
U+2BB6C 	𫭬
U+2BB6D 	𫭭
U+2BB6E 	𫭮
U+2BB6F 	𫭯
U+2BB70 	𫭰
U+2BB71 	𫭱
U+2BB72 	𫭲
U+2BB73 	𫭳
U+2BB74 	𫭴
U+2BB75 	𫭵
U+2BB76 	𫭶
U+2BB77 	𫭷
U+2BB78 	𫭸
U+2BB79 	𫭹
U+2BB7A 	𫭺
U+2BB7B 	𫭻
U+2BB7C 	𫭼
U+2BB7D 	𫭽
U+2BB7E 	𫭾
U+2BB7F 	𫭿
U+2BB80 	𫮀
U+2BB81 	𫮁
U+2BB82 	𫮂
U+2BB83 	𫮃
U+2BB84 	𫮄
U+2BB85 	𫮅
U+2BB86 	𫮆
U+2BB87 	𫮇
U+2BB88 	𫮈
U+2BB89 	𫮉
U+2BB8A 	𫮊
U+2BB8B 	𫮋
U+2BB8C 	𫮌
U+2BB8D 	𫮍
U+2BB8E 	𫮎
U+2BB8F 	𫮏
U+2BB90 	𫮐
U+2BB91 	𫮑
U+2BB92 	𫮒
U+2BB93 	𫮓
U+2BB94 	𫮔
U+2BB95 	𫮕
U+2BB96 	𫮖
U+2BB97 	𫮗
U+2BB98 	𫮘
U+2BB99 	𫮙
U+2BB9A 	𫮚
U+2BB9B 	𫮛
U+2BB9C 	𫮜
U+2BB9D 	𫮝
