U+2D07E 	𭁾
U+2D07F 	𭁿
U+2D080 	𭂀
U+2D081 	𭂁
U+2D082 	𭂂
U+2D083 	𭂃
U+2D084 	𭂄
U+2D085 	𭂅
U+2D086 	𭂆
U+2D087 	𭂇
U+2D088 	𭂈
U+2D089 	𭂉
U+2D08A 	𭂊
U+2D08B 	𭂋
U+2D08C 	𭂌
U+2D08D 	𭂍
U+2D08E 	𭂎
U+2D08F 	𭂏
U+2D090 	𭂐
U+2D091 	𭂑
U+2D092 	𭂒
U+2D093 	𭂓
U+2D094 	𭂔
U+2D095 	𭂕
U+2D096 	𭂖
U+2D097 	𭂗
U+2D098 	𭂘
U+2D099 	𭂙
U+2D09A 	𭂚
U+2D09B 	𭂛
U+2D09C 	𭂜
U+2D09D 	𭂝
U+2D09E 	𭂞
U+2D09F 	𭂟
U+2D0A0 	𭂠
U+2D0A1 	𭂡
U+2D0A2 	𭂢
U+2D0A3 	𭂣
U+2D0A4 	𭂤
U+2D0A5 	𭂥
U+2D0A6 	𭂦
U+2D0A7 	𭂧
U+2D0A8 	𭂨
U+2D0A9 	𭂩
U+2D0AA 	𭂪
U+2D0AB 	𭂫
U+2D0AC 	𭂬
U+2D0AD 	𭂭
U+2D0AE 	𭂮
U+2D0AF 	𭂯
U+2D0B0 	𭂰
U+2D0B1 	𭂱
U+2D0B2 	𭂲
U+2D0B3 	𭂳
U+2D0B4 	𭂴
U+2D0B5 	𭂵
U+2D0B6 	𭂶
U+2D0B7 	𭂷
U+2D0B8 	𭂸
U+2D0B9 	𭂹
U+2D0BA 	𭂺
U+2D0BB 	𭂻
U+2D0BC 	𭂼
U+2D0BD 	𭂽
U+2D0BE 	𭂾
U+2D0BF 	𭂿
U+2D0C0 	𭃀
U+2D0C1 	𭃁
U+2D0C2 	𭃂
U+2D0C3 	𭃃
U+2D0C4 	𭃄
U+2D0C5 	𭃅
U+2D0C6 	𭃆
U+2D0C7 	𭃇
U+2D0C8 	𭃈
U+2D0C9 	𭃉
U+2D0CA 	𭃊
U+2D0CB 	𭃋
U+2D0CC 	𭃌
U+2D0CD 	𭃍
U+2D0CE 	𭃎
U+2D0CF 	𭃏
U+2D0D0 	𭃐
U+2D0D1 	𭃑
U+2D0D2 	𭃒
U+2D0D3 	𭃓
U+2D0D4 	𭃔
U+2D0D5 	𭃕
U+2D0D6 	𭃖
U+2D0D7 	𭃗
U+2D0D8 	𭃘
U+2D0D9 	𭃙
U+2D0DA 	𭃚
U+2D0DB 	𭃛
U+2D0DC 	𭃜
U+2D0DD 	𭃝
U+2D0DE 	𭃞
U+2D0DF 	𭃟
U+2D0E0 	𭃠
U+2D0E1 	𭃡
U+2D0E2 	𭃢
U+2D0E3 	𭃣
U+2D0E4 	𭃤
U+2D0E5 	𭃥
U+2D0E6 	𭃦
U+2D0E7 	𭃧
U+2D0E8 	𭃨
U+2D0E9 	𭃩
U+2D0EA 	𭃪
U+2D0EB 	𭃫
U+2D0EC 	𭃬
U+2D0ED 	𭃭
U+2D0EE 	𭃮
U+2D0EF 	𭃯
U+2D0F0 	𭃰
U+2D0F1 	𭃱
U+2D0F2 	𭃲
U+2D0F3 	𭃳
U+2D0F4 	𭃴
U+2D0F5 	𭃵
U+2D0F6 	𭃶
U+2D0F7 	𭃷
U+2D0F8 	𭃸
U+2D0F9 	𭃹
U+2D0FA 	𭃺
U+2D0FB 	𭃻
U+2D0FC 	𭃼
U+2D0FD 	𭃽
U+2D0FE 	𭃾
U+2D0FF 	𭃿
U+2D100 	𭄀
U+2D101 	𭄁
U+2D102 	𭄂
U+2D103 	𭄃
U+2D104 	𭄄
U+2D105 	𭄅
U+2D106 	𭄆
U+2D107 	𭄇
U+2D108 	𭄈
U+2D109 	𭄉
U+2D10A 	𭄊
U+2D10B 	𭄋
U+2D10C 	𭄌
U+2D10D 	𭄍
U+2D10E 	𭄎
U+2D10F 	𭄏
U+2D110 	𭄐
